"日期","上班","下班"
"20131004","0850","2000"
"20131011","0900","2000"
"20131018","0905","1945"
"20131025","0920","2305"
"20131101","0910","2050"
"20131108","0905","2020"
"20131115","0910","2005"
"20131122","0915","2050"
"20131129","0915","2005"
"20131206","0915","2125"
"20131213","0915","1950"
"20131220","0920","2155"
"20131227","0925","2015"
"20140103","0915","2155"
"20140110","0915","2010"
"20140117","0920","1905"
"20140124","0925","1830"
"20140207","0925","2035"
"20140214","0930","2000"
"20140221","0925","2030"
"20140307","0940","2250"
"20140314","0925","2150"
"20140321","0935","2015"
"20140328","0930","2140"
"20140411","0935","2055"
"20140418","0935","1935"
"20140425","0935","1930"
"20140502","0935","1950"
"20140509","0935","1910"
"20140516","0935","2140"
"20140523","0935","2130"
"20140530","0940","2030"
"20140606","0935","1830"
"20140613","0940","2100"
"20140620","0935","2000"
"20140627","0935","2020"
"20140704","0935","2100"
"20140711","0935","2020"
"20140718","0930","2045"
"20140725","0930","2155"
"20140801","0940","2010"
"20140808","0930","2050"
"20140815","0935","2000"
"20140822","0915","1930"
"20140829","0930","2030"
"20140905","0930","1910"
"20140912","0915","1915"
"20140919","0930","1920"
"20140926","0930","1935"
"20141003","0930","1600"
"20141017","0935","2100"
"20141024","0935","2050"
"20141031","0935","2100"
"20141107","0935","2100"
"20141114","0935","1915"
"20141128","0935","2000"
"20141205","0935","2200"
"20141212","0930","1600"
"20141219","0940","2035"
"20141226","0940","1915"
"20150109","0940","1925"
"20150116","0940","2000"
"20150123","0940","1945"
"20150130","0940","1920"
"20150206","0930","1915"
"20150213","0940","1850"
"20150306","0935","1845"
"20150313","0935","1900"
"20150320","0940","1920"
"20150327","0940","1845"
"20150410","0935","2140"
"20150417","0940","1950"
"20150424","0940","2110"
"20150508","0920","1855"
"20150515","0930","1910"
"20150522","0930","1910"
"20150529","0925","1910"
"20150605","0925","1925"
"20150612","0920","1945"
"20150626","0920","1905"
"20150703","0920","1915"
"20150717","0925","1910"
"20150724","0920","1910"
"20150731","0913","1840"
"20150807","0920","1815"
"20150814","0920","1850"
"20150821","0920","1900"
"20150828","0920","1855"
"20150904","0920","1910"
"20150911","0920","1800"
"20150918","0930","1830"
"20150925","0920","1910"
"20151002","0920","2130"
"20151016","0925","1900"
"20151023","0925","1910"
"20151030","0925","1920"
"20151106","0920","1737"
"20151113","0925","1915"
"20151120","0925","1900"
"20151127","0913","1900"
"20151204","0920","1855"
"20151211","0925","1855"
"20151225","0925","1900"
"20160108","0925","1920"
"20160115","0930","1830"
"20160122","0930","1905"
"20160129","0950","2155"
"20160205","0930","1755"
"20160219","0930","1940"
"20160226","0950","1955"
"20160304","0930","2010"
"20160311","0950","2130"
"20160318","0930","1950"
"20160325","0940","2030"
"20160401","0940","2140"
"20160408","0945","2330"
"20160422","0945","1903"
"20160429","0940","2340"
"20160506","0945","2200"
"20160513","1015","2345"
"20160520","0950","2215"
"20160527","0940","2130"
"20160603","0943","2035"
"20160617","0950","2359"
"20160624","1007","2230"
"20160701","0950","2300"
"20160715","0955","2305"
"20160729","0930","2220"
"20160805","0937","1951"
"20160812","0945","1845"
"20160819","0955","1835"
"20160909","0945","1845"
"20160923","0945","1910"
"20160930","0925","1825"
"20161007","0955","1840"
"20161014","0955","1410"
