20131004 2013/10/04 08:50, 上班, 2013/10/04 20:00, 下班
20131007 2013/10/07 09:00, 上班, 2013/10/07 22:00, 下班
20131008 2013/10/08 08:45, 上班, 2013/10/08 21:30, 下班
20131009 2013/10/09 09:10, 上班, 2013/10/09 21:50, 下班
20131011 2013/10/11 09:00, 上班, 2013/10/11 20:00, 下班
20131014 2013/10/14 09:05, 上班, 2013/10/14 21:40, 下班
20131015 2013/10/15 09:10, 上班, 2013/10/15 21:40, 下班
20131016 2013/10/16 09:05, 上班, 2013/10/16 22:00, 下班
20131017 2013/10/17 09:00, 上班, 2013/10/17 21:50, 下班
20131018 2013/10/18 09:05, 上班, 2013/10/18 19:45, 下班
20131021 2013/10/21 09:05, 上班, 2013/10/21 21:55, 下班
20131022 2013/10/22 09:10, 上班, 2013/10/22 23:30, 下班
20131023 2013/10/23 09:10, 上班, 2013/10/23 21:30, 下班
20131024 2013/10/24 09:10, 上班, 2013/10/24 23:10, 下班
20131025 2013/10/25 09:20, 上班, 2013/10/25 23:05, 下班
20131028 2013/10/28 09:00, 上班, 2013/10/28 21:45, 下班
20131029 2013/10/29 09:05, 上班, 2013/10/29 22:00, 下班
20131030 2013/10/30 09:05, 上班, 2013/10/30 22:05, 下班
20131031 2013/10/31 09:10, 上班, 2013/10/31 21:50, 下班
20131101 2013/11/01 09:10, 上班, 2013/11/01 20:50, 下班
20131104 2013/11/04 09:10, 上班, 2013/11/04 20:45, 下班
20131105 2013/11/05 09:05, 上班, 2013/11/05 19:40, 下班
20131106 2013/11/06 09:05, 上班, 2013/11/06 19:35, 下班
20131107 2013/11/07 09:10, 上班, 2013/11/07 19:20, 下班
20131108 2013/11/08 09:05, 上班, 2013/11/08 20:20, 下班
20131111 2013/11/11 09:10, 上班, 2013/11/11 19:45, 下班
20131112 2013/11/12 09:05, 上班, 2013/11/12 20:30, 下班
20131113 2013/11/13 09:10, 上班, 2013/11/13 22:30, 下班
20131114 2013/11/14 09:10, 上班, 2013/11/14 20:30, 下班
20131115 2013/11/15 09:10, 上班, 2013/11/15 20:05, 下班
