"日期","上班","全部下班","週一到週四下班","週五下班"
"20131004","0850","2000","","2000"
"20131007","0900","2200","2200",""
"20131008","0845","2130","2130",""
"20131009","0910","2150","2150",""
"20131011","0900","2000","","2000"
"20131014","0905","2140","2140",""
"20131015","0910","2140","2140",""
"20131016","0905","2200","2200",""
"20131017","0900","2150","2150",""
"20131018","0905","1945","","1945"
"20131021","0905","2155","2155",""
"20131022","0910","2330","2330",""
"20131023","0910","2130","2130",""
"20131024","0910","2310","2310",""
"20131025","0920","2305","","2305"
"20131028","0900","2145","2145",""
"20131029","0905","2200","2200",""
"20131030","0905","2205","2205",""
"20131031","0910","2150","2150",""
"20131101","0910","2050","","2050"
"20131104","0910","2045","2045",""
"20131105","0905","1940","1940",""
"20131106","0905","1935","1935",""
"20131107","0910","1920","1920",""
"20131108","0905","2020","","2020"
"20131111","0910","1945","1945",""
"20131112","0905","2030","2030",""
"20131113","0910","2230","2230",""
"20131114","0910","2030","2030",""
"20131115","0910","2005","","2005"
"20131118","0905","2200","2200",""
"20131119","0910","2140","2140",""
"20131120","0910","2200","2200",""
"20131121","0910","2130","2130",""
"20131122","0915","2050","","2050"
"20131125","0905","2325","2325",""
"20131126","0910","2210","2210",""
"20131127","0910","2205","2205",""
"20131128","0910","2130","2130",""
"20131129","0915","2005","","2005"
"20131202","0910","2150","2150",""
"20131203","0920","2225","2225",""
"20131204","0910","2210","2210",""
"20131205","0910","2210","2210",""
"20131206","0915","2125","","2125"
"20131209","0910","2215","2215",""
"20131210","0915","2215","2215",""
"20131211","0915","2215","2215",""
"20131212","0915","2220","2220",""
"20131213","0915","1950","","1950"
"20131216","0915","2240","2240",""
"20131217","0915","2240","2240",""
"20131218","0915","2340","2340",""
"20131219","0920","2255","2255",""
"20131220","0920","2155","","2155"
"20131223","0925","2215","2215",""
"20131224","0920","2210","2210",""
"20131225","0915","1910","1910",""
"20131226","0925","2210","2210",""
"20131227","0925","2015","","2015"
"20131230","0915","2135","2135",""
"20140102","0915","2300","2300",""
"20140103","0915","2155","","2155"
"20140106","0910","2230","2230",""
"20140107","0920","2225","2225",""
"20140108","0925","2205","2205",""
"20140109","0925","2155","2155",""
"20140110","0915","2010","","2010"
"20140113","0925","2130","2130",""
"20140114","0920","2125","2125",""
"20140115","0920","2100","2100",""
"20140116","0925","2040","2040",""
"20140117","0920","1905","","1905"
"20140120","0920","2150","2150",""
"20140121","0920","2155","2155",""
"20140122","0925","2150","2150",""
"20140123","0925","2200","2200",""
"20140124","0925","1830","","1830"
"20140127","0930","2150","2150",""
"20140128","0930","1610","1610",""
"20140129","0925","1825","1825",""
"20140205","0920","2125","2125",""
"20140206","0925","2150","2150",""
"20140207","0925","2035","","2035"
"20140210","0930","2140","2140",""
"20140211","0930","2140","2140",""
"20140212","0930","2130","2130",""
"20140213","0930","2130","2130",""
"20140214","0930","2000","","2000"
"20140217","0930","2155","2155",""
"20140218","0935","2155","2155",""
"20140219","0925","2205","2205",""
"20140220","0930","2200","2200",""
"20140221","0925","2030","","2030"
"20140224","0930","2205","2205",""
"20140225","0935","2200","2200",""
"20140226","0930","2215","2215",""
"20140227","0915","2130","2130",""
"20140303","0925","2250","2250",""
"20140304","0935","2210","2210",""
"20140305","0925","2215","2215",""
"20140306","0935","2210","2210",""
"20140307","0940","2250","","2250"
"20140310","0935","2230","2230",""
